Gemeente,Kerkbezoek. minimaal 1x per maand (percentage van gehele 18+ populatie),Geen kerkelijke gezindte,Rooms-katholiek,Protestants,Islam,Joods,Hindoe,Boeddhist,anders,
Culemborg,16.4,46.2,18.0,18.7,9.4,0.0,0.6,0.4,6.8,
Doesburg,13.8,59.5,18.7,15.5,3.7,0.0,0.0,0.1,2.5,
Doetinchem,13.6,51.4,30.2,10.1,3.7,0.0,0.0,0.2,4.3,
Druten,12.0,34.5,52.7,7.1,2.2,0.0,0.4,0.5,2.6,
Duiven,12.3,49.6,30.0,14.4,1.8,0.2,0.0,0.5,3.5,
Ede,34.4,40.1,5.6,40.1,5.6,0.0,0.1,0.2,8.4,
Elburg,51.2,25.9,6.8,55.5,0.0,0.0,0.0,0.3,11.5,
Epe,20.7,45.7,9.4,37.9,1.8,0.0,0.0,0.0,5.2,
Ermelo,40.0,34.1,5.4,53.4,1.7,0.0,0.0,0.0,5.5,
Geldermalsen,28.8,38.5,10.2,42.4,1.7,0.3,0.1,0.4,6.3,
Harderwijk,31.9,40.9,6.4,39.3,6.8,0.1,0.1,0.2,6.2,
Hattem,37.8,34.4,7.7,54.8,0.0,0.0,0.0,0.0,3.2,
Heerde,32.5,41.4,1.4,46.0,1.4,0.0,0.0,0.1,9.8,
Heumen,14.8,38.4,54.6,2.2,1.8,0.0,0.0,0.8,2.2,
Lochem,8.5,51.9,9.7,33.4,1.3,0.0,0.0,0.1,3.6,
Maasdriel,15.5,35.3,44.4,15.5,2.5,0.0,0.4,0.3,1.6,
Nijkerk,40.2,32.8,9.6,48.1,2.7,0.3,0.0,0.0,6.6,
Nijmegen,10.2,54.2,31.8,3.9,5.6,0.2,0.5,0.5,3.5,
Oldebroek,51.6,23.4,2.4,63.5,0.0,0.0,0.0,0.1,10.5,
Putten,44.0,27.2,3.9,65.3,0.0,0.2,0.0,0.0,3.5,
Renkum,18.6,53.6,20.5,20.1,1.4,0.0,0.0,0.0,4.4,
Rheden,13.1,56.8,14.2,22.0,2.8,0.2,0.0,0.2,3.9,
Rozendaal,.,.,.,0.0,.,.,.,.,.,
Scherpenzeel,48.7,20.7,13.2,52.2,1.0,0.9,0.0,0.7,11.3,
Tiel,13.5,46.7,16.4,21.3,11.5,0.0,0.2,0.2,3.8,
Voorst,18.0,41.8,30.3,24.5,0.7,0.0,0.0,0.2,2.6,
Wageningen,15.5,62.5,15.5,14.2,1.3,0.0,0.2,0.4,5.9,
