Gemeente,Kerkbezoek. minimaal 1x per maand (percentage van gehele 18+ populatie),Geen kerkelijke gezindte,Rooms-katholiek,Protestants,Islam,Joods,Hindoe,Boeddhist,anders,
Teylingen,14.2,42.9,37.4,13.8,1.9,0.0,0.6,0.1,3.3,
Utrechtse Heuvelrug,16.2,53.8,12.5,25.7,1.9,0.0,0.5,0.3,5.3,
Oost Gelre,8.3,31.6,56.8,10.3,0.6,0.0,0.0,0.0,0.7,
Koggenland,17.1,46.9,46.7,5.3,0.0,0.0,0.0,0.3,0.8,
Lansingerland,15.9,52.2,20.5,19.5,3.0,0.0,1.1,0.7,3.0,
Leudal,17.3,17.7,77.4,1.8,0.7,0.0,0.1,0.2,2.2,
Maasgouw,15.8,20.8,73.9,3.7,0.3,0.0,0.0,0.0,1.3,
Eemsmond,25.3,59.3,4.8,33.4,0.2,0.0,0.0,0.2,2.1,
Gemert-Bakel,10.5,25.5,68.1,2.2,1.1,0.0,0.0,0.8,2.3,
Halderberge,12.8,23.5,67.4,5.1,2.3,0.0,0.4,0.2,1.1,
Heeze-Leende,15.1,35.1,57.7,6.6,0.0,0.0,0.0,0.1,0.6,
Laarbeek,9.9,23.6,73.4,1.6,0.1,0.0,0.0,0.0,1.3,
De Marne,17.8,50.2,8.0,38.4,0.5,0.0,0.0,0.4,2.5,
Reusel-De Mierden,15.2,29.7,69.2,0.6,0.0,0.0,0.0,0.0,0.5,
Roerdalen,15.0,19.5,75.9,2.2,2.0,0.0,0.0,0.0,0.4,
Roosendaal,11.2,31.7,53.3,4.3,7.3,0.0,0.2,0.1,3.1,
Schouwen-Duiveland,27.0,49.9,9.2,36.5,0.0,0.0,0.0,0.1,4.3,
Aa en Hunze,8.7,67.5,5.6,22.9,0.3,0.0,0.0,0.1,3.7,
Borger-Odoorn,14.7,67.6,5.2,20.1,0.8,0.2,0.0,0.1,6.1,
Cuijk,12.4,33.2,55.5,3.9,4.9,0.0,0.0,1.5,1.0,
Landerd,10.5,28.5,67.2,1.2,1.1,0.0,0.0,0.2,1.8,
De Wolden,13.7,55.1,5.1,37.9,0.0,0.0,0.0,0.1,1.9,
Noord-Beveland,17.2,49.1,9.2,37.5,0.5,0.7,0.0,0.4,2.7,
Wijdemeren,13.1,58.5,17.5,17.3,1.9,0.0,0.0,0.6,4.2,
Noordenveld,9.8,72.9,4.8,18.0,0.3,0.1,0.0,0.7,3.2,
Twenterand,36.7,29.5,6.1,58.5,0.0,0.0,0.0,0.0,5.9,
Westerveld,15.5,62.0,6.1,28.5,0.0,0.0,0.0,0.0,3.5,
Sint Anthonis,10.9,28.0,66.1,0.7,1.6,0.3,0.0,0.0,3.2,
Lingewaard,8.6,37.7,53.3,6.3,1.0,0.0,0.0,0.3,1.3,
Cranendonck,16.9,19.3,75.2,2.4,0.6,0.0,0.2,0.6,1.7,
Steenwijkerland,18.8,53.1,12.2,28.9,0.1,0.0,0.5,0.0,5.2,
Moerdijk,16.2,36.6,39.2,20.2,1.3,0.0,0.1,0.1,2.6,
Echt-Susteren,22.6,14.8,81.6,1.5,0.5,0.0,0.0,0.0,1.7,
Sluis,10.0,52.7,24.4,18.3,1.0,0.0,0.0,0.8,2.8,
Drimmelen,7.7,31.4,59.8,5.3,0.7,0.0,0.0,0.4,2.3,
Bernheze,18.6,21.4,72.8,1.9,0.7,0.0,0.0,0.1,3.1,
Ferwerderadiel,35.1,41.4,2.6,52.1,0.0,0.0,0.0,0.2,3.7,
Alphen-Chaam,18.4,19.9,74.9,4.2,1.0,0.0,0.0,0.0,0.0,
Bergeijk,17.1,26.9,69.2,2.3,0.9,0.0,0.0,0.0,0.8,
Bladel,11.1,26.4,66.3,3.3,0.9,0.0,0.0,0.5,2.7,
Gulpen-Wittem,35.4,10.2,86.7,1.2,0.3,0.0,0.0,0.0,1.5,
Tynaarlo,10.5,70.4,4.0,19.6,0.1,0.1,0.0,0.1,5.7,
Midden-Drenthe,14.3,59.6,5.5,30.8,0.3,0.0,0.1,0.2,3.5,
Overbetuwe,15.6,41.0,30.5,22.7,2.4,0.0,0.4,0.2,2.7,
Hof van Twente,14.2,38.3,33.8,20.6,1.1,0.1,0.1,0.6,5.6,
Neder-Betuwe,39.7,30.6,6.2,55.8,0.7,0.0,0.0,0.0,6.8,
Rijssen-Holten,56.4,18.7,5.3,65.4,3.4,0.0,0.0,0.0,7.2,
Geldrop-Mierlo,9.1,36.9,51.8,5.1,2.9,0.0,0.2,0.4,2.7,
Olst-Wijhe,17.3,44.3,28.7,26.0,0.0,0.0,0.0,0.0,1.1,
Dinkelland,22.9,18.2,76.9,3.9,0.7,0.0,0.0,0.0,0.3,
Westland,23.9,35.1,33.3,26.3,1.5,0.1,0.3,0.1,3.4,
Midden-Delfland,28.5,32.0,30.1,32.4,1.9,0.0,0.4,0.0,3.2,
Berkelland,12.8,46.1,25.4,25.7,0.7,0.0,0.0,0.9,1.3,
Bronckhorst,13.5,49.8,17.9,28.9,0.5,0.0,0.0,0.0,2.9,
Sittard-Geleen,13.6,26.5,63.2,2.8,4.9,0.1,0.3,0.4,1.9,
Kaag en Braassem,21.1,34.1,47.2,16.0,0.8,0.0,0.0,0.5,1.5,
Dantumadiel,33.2,39.4,1.4,51.7,1.0,0.0,0.0,0.0,6.5,
Zuidplas,26.4,52.3,9.5,30.6,2.3,0.0,0.2,0.3,4.8,
Peel en Maas,10.0,18.5,77.7,1.1,1.0,0.0,0.1,0.2,1.5,
Oldambt,8.2,71.7,3.4,18.6,0.3,0.0,0.7,0.0,5.4,
Zwartewaterland,51.0,30.9,3.0,61.5,0.1,0.0,0.0,0.4,4.1,
Súdwest-Fryslân,21.4,47.9,11.7,32.5,0.8,0.0,0.3,0.0,6.8,
Bodegraven-Reeuwijk,33.5,39.0,19.4,33.2,2.7,0.0,0.0,0.2,5.5,
Eijsden-Margraten,24.5,19.8,77.2,1.1,1.2,0.0,0.0,0.3,0.5,
Stichtse Vecht,14.3,59.8,16.4,16.6,1.9,0.0,0.9,0.3,4.1,
Menameradiel,18.1,52.0,9.2,35.2,0.0,0.0,0.2,0.0,3.3,
Hollands Kroon,11.8,63.0,22.9,10.8,0.5,0.1,0.2,0.0,2.6,
Leidschendam-Voorburg,13.4,56.0,23.3,11.3,5.1,0.1,1.4,0.1,2.8,
Goeree-Overflakkee,36.6,43.1,6.4,40.9,0.4,0.0,0.0,0.1,9.3,
Pijnacker-Nootdorp,12.7,51.9,22.6,18.0,1.7,0.1,1.6,0.3,3.8,
Molenwaard,49.4,36.6,2.1,51.0,1.5,0.0,0.0,0.1,8.7,
Nissewaard,10.4,63.9,11.3,16.1,3.2,0.0,1.2,0.3,4.0,
Krimpenerwaard,22.6,54.0,8.2,33.3,2.1,0.0,0.0,0.3,2.1,
De Fryske Marren,22.9,46.1,16.1,32.4,0.6,0.2,0.4,0.0,4.3,
Gooise Meren,9.5,63.2,17.5,11.1,3.8,0.2,0.1,0.1,3.9,
Berg en Dal,11.5,30.5,63.6,3.3,0.4,0.0,0.1,0.3,1.9,
Montferland,11.8,27.2,63.3,5.7,1.2,0.0,0.0,0.1,2.5,
Menterwolde,3.5,84.2,3.5,9.4,0.5,0.0,0.0,0.4,2.1,
